Напитки,Пицца,Панини,"Допы с пицце, пинини и омлетам",Омлеты,Каши,Йогурты,Творог,Джованни тости,Джованни выпечка,Джованни десерты,Джованни хот доги,
,Лампоне мора,Мини панини поло кон песто,бекон,Омлет с беконом и овощами,Рисовая на кокосовом с кешью,Йогурт с бананом и манго,Творог с апельсином и шоколадом,Тости санта круз,Панетонне цитрусовый,Вафельная трубочка ган,Sando с цыпленком,
Эспрессо,Маргарита,Мини панини пепперони,пепперони,Омлет с сыром и овощами,Овсяная с яблоком и корицей,Йогурт с матчей и малиной,Творог с ягодами,Тости бруклинский,Панетонне цитрус шоколад,Вафельная трубочка ноусрайд,Sando овощной,
Фильтр ,Абитато,Мини панини Тре формаджи,ветчина,Омлет Ла Трота с сыром,,,,Тости грилд чиз,Круассан классический,Шу лимоннный,Sando с ветчиной и чеддером,
Флэт уайт,Капричеза,Мини панини с фалафелем,курица,,,,,Тости санта моника,Круассан миндаль-персипанн,Шу кофейный,Хот дог назарэ,Хот дог Назаре 2
Америнано,Груша-горгонзола,Панинии кон вендуре,сосиска,,,,,Тости джовани селициони,Круассан ягодны,Печенье три шоколада,хот дог улувату,
Капучино,Пепперони,Панини кон карне,креветки,,,,,Тости брэкфаст,Круассан сырный,Печенье овсяное,Круассан с лососем ,
Латте,Четыре сыра,,хамон,,,,,,Крафин шоколадный,Чизкейк Баский,Круассан с индейкой и чеддером,
Раф класический,Буррата,,моцарела,,,,,,Крафин ванильный,Брауни с вишней,,
,Ди карне,,скаморца,,,,,,Улитка с корицей,Трюфель с фундуком,,
Двойной гавайский,Гамберетти,,горгонзола,,,,,,Улитка с маком,Трюфель с горьким шоколадом и розмарином,,
Малиновый латте,Хамон,,пармезан,,,,,,Улитка с карамелью финиками,,,
Джинджер,Ла трота,,огурец,,,,,,Булочка с творожным кремом,,,
Мэверик бамбл,,,халапеньо,,,,,,Булочка со смородиноц,,,
Мэверик бамбл на фрэшэ,,,шампиньоны,,,,,,,,,
Раф пуэрториканский,бекон,,маслины,,,,,,,,,
Раф соленая карамель,пепперони,,томаты черри,,,,,,,,,
Раф лавандовый,ветчина,,рукола,,,,,,,,,
,курица,,томаты вяленые,,,,,,,,,
Айс латте,сосиска,,томатный соус,,,,,,,,,
Эспрессо тоник,креветки,,соус песто,,,,,,,,,
Айс мэверик бамбл,хамон,,,,,,,,,,,
Айс мэверик бамбл на фрэше,моцарела,,,,,,,,,,,
,скаморца,,,,,,,,,,,
Какао,горгонзола,,,,,,,,,,,
Милкшейк,пармезан,,,,,,,,,,,
,огурец,,,,,,,,,,,
Иван чай,халапеньо,,,,,,,,,,,
Гречишный чай,шампиньоны,,,,,,,,,,,
Молочный улун,маслины,,,,,,,,,,,
Да хун пао,томаты черри,,,,,,,,,,,
Габа,рукола,,,,,,,,,,,
Биариц,томаты вяленые,,,,,,,,,,,
Чиллин,томатный соус,,,,,,,,,,,
Розмари голд,соус песто,,,,,,,,,,,
Чай латте,,,,,,,,,,,,
Матча латте,,,,,,,,,,,,
,,,,,,,,,,,,
Айс биариц,,,,,,,,,,,,
Айс чиллин,,,,,,,,,,,,
Айс розмари голд,,,,,,,,,,,,
Матча тоник,,,,,,,,,,,,
Айс матча латте,,,,,,,,,,,,
,,,,,,,,,,,,
Португальский смузи,,,,,,,,,,,,
Бали бум смузи,,,,,,,,,,,,
Айс манки смузи,,,,,,,,,,,,
Улувату смузи,,,,,,,,,,,,
Berry boom смузи,,,,,,,,,,,,
Muscle monkey смузи,,,,,,,,,,,,
,,,,,,,,,,,,
Дабл элевен,,,,,,,,,,,,
Кейптаун,,,,,,,,,,,,
Флауэр пауэр,,,,,,,,,,,,
Компот,,,,,,,,,,,,
Морковный фрэш,,,,,,,,,,,,
Яблочный фрэш,,,,,,,,,,,,
Апельсиновый фрэш,,,,,,,,,,,,
Грейпфрутовый фрэш,,,,,,,,,,,,
,,,,,,,,,,,,
сироп,,,,,,,,,,,,
шот эспрессо,,,,,,,,,,,,
шот матчи,,,,,,,,,,,,
альтернативное молоко,,,,,,,,,,,,
,,,,,,,,,,,,
Драфт,,,,,,,,,,,,
Сливочный драфт,,,,,,,,,,,,
Летняя сезонка,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
157 единиц,,,,,,,,,,,,
